"setting_id","truth_type","reader_miss","z_miss","replicate","method","auc","brier","x_cor","x_rmse","cx_mae"
"S1","correct",0.1,0,1,"Bayesian joint model",0.949425616092283,0.137974763491515,0.55272037639915,0.855752855927309,0.0500190551773184
"S1","correct",0.1,0,1,"Averaged-reader logistic",0.669717336384003,0.211349352323196,NA,NA,NA
"S1","correct",0.1,0,1,"Reader-1 logistic",0.651651651651651,0.214985786753427,NA,NA,NA
"S1","correct",0.1,0,2,"Bayesian joint model",0.825672238372093,0.176730168434122,0.616382728548745,0.772068770490985,0.0733833956214531
"S1","correct",0.1,0,2,"Averaged-reader logistic",0.719567587209302,0.209056856483203,NA,NA,NA
"S1","correct",0.1,0,2,"Reader-1 logistic",0.724518531976744,0.208089808294077,NA,NA,NA
"S1","correct",0.1,0,3,"Bayesian joint model",0.822933771209634,0.178467187558077,0.593378094956482,0.814280787104021,0.155746955008943
"S1","correct",0.1,0,3,"Averaged-reader logistic",0.695174238277687,0.214823499959152,NA,NA,NA
"S1","correct",0.1,0,3,"Reader-1 logistic",0.70165115854771,0.213870902983743,NA,NA,NA
"S1","correct",0.1,0,4,"Bayesian joint model",0.997575267730855,0.0896603992741225,0.507877213063736,0.848997450276227,0.171984912587276
"S1","correct",0.1,0,4,"Averaged-reader logistic",0.703222873307739,0.197135648622402,NA,NA,NA
"S1","correct",0.1,0,4,"Reader-1 logistic",0.659577692463123,0.203918765897089,NA,NA,NA
"S1","correct",0.1,0,5,"Bayesian joint model",0.952268518518517,0.151490413955122,0.594609124211628,0.798981312170177,0.139032080717079
"S1","correct",0.1,0,5,"Averaged-reader logistic",0.63212962962963,0.225727132668309,NA,NA,NA
"S1","correct",0.1,0,5,"Reader-1 logistic",0.613981481481481,0.228753461186688,NA,NA,NA
"S1","correct",0.1,0,6,"Bayesian joint model",0.793073354462358,0.187059750262361,0.593583789285039,0.83223401578949,0.127056041624529
"S1","correct",0.1,0,6,"Averaged-reader logistic",0.69670662808323,0.213925502411792,NA,NA,NA
"S1","correct",0.1,0,6,"Reader-1 logistic",0.69321574571678,0.214283646878536,NA,NA,NA
"S1","correct",0.1,0,7,"Bayesian joint model",0.970319858712715,0.103068016419647,0.576134319689207,0.806769007640987,0.129265938523277
"S1","correct",0.1,0,7,"Averaged-reader logistic",0.743622448979592,0.189113468035984,NA,NA,NA
"S1","correct",0.1,0,7,"Reader-1 logistic",0.755003924646782,0.185567393191263,NA,NA,NA
"S1","correct",0.1,0,8,"Bayesian joint model",0.910090497737557,0.149198335281981,0.532527968526308,0.855885510342128,0.115155855990552
"S1","correct",0.1,0,8,"Averaged-reader logistic",0.711764705882353,0.212150970614712,NA,NA,NA
"S1","correct",0.1,0,8,"Reader-1 logistic",0.696018099547511,0.216983270104059,NA,NA,NA
"S1","correct",0.1,0,9,"Bayesian joint model",0.947026324341892,0.13606561383873,0.523553283015981,0.855462615961159,0.287643353464177
"S1","correct",0.1,0,9,"Averaged-reader logistic",0.679418728817494,0.216149538124427,NA,NA,NA
"S1","correct",0.1,0,9,"Reader-1 logistic",0.691257718557036,0.213856942499897,NA,NA,NA
